a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
5	52	268-G23	B11	2477	0.900744	0.000003	0	0.094191	0	0.005039	0.000022	0	0.000001	0.000019	0.005062	0.094191	0.000013	0.000012	0.000001	0	0.000001	0.000001	0.04964	-0.044576	-3113.682335	66	-1	0.599468	"5.599658e-01,1.418349e-01,2.351827e-02,1.664261e-01,6.024318e-02,1.655337e-02,1.763126e-02,9.455627e-03,4.371583e-03"	0.683057	0.160469	-0.0485	-3422.463354	9
5	53	268-G23	B20	2475	0.877369	0	0	0.12148	0	0.001151	0	0	0	0	0.001151	0.12148	0	0	0	0	0	0	0.061316	-0.060164	-3141.254305	94	-1	0.598984	"5.576085e-01,1.406551e-01,2.808106e-02,1.682549e-01,5.329056e-02,2.157765e-02,1.876879e-02,9.013810e-03,2.749699e-03"	0.87914	0.137933	-0.090587	-3462.453161	9
5	54	268-G23	287-G13	2198	0.913833	0	0	0.085707	0	0	0	0.00046	0	0	0.00046	0.086167	0	0	0	0.00046	0	0.00046	0.043314	-0.042853	-2781.51456	82	-1	0.531946	"5.552365e-01,1.411356e-01,2.976196e-02,1.627803e-01,6.798638e-02,1.242688e-02,1.690878e-02,9.925540e-03,3.837995e-03"	0.686472	0.182299	-0.054853	-3062.584163	7
5	55	268-G23	281-G11	2273	0.902805	0.000008	0.002828	0.082682	0	0	0	0.011517	0.000161	0.002992	0.011678	0.09436	0.001577	0.000161	0.000161	0.014345	0.000161	0.014506	0.055851	-0.041341	-2853.360382	58	-1	0.550097	"5.714429e-01,1.326271e-01,2.066499e-02,1.620386e-01,6.313596e-02,1.858363e-02,1.812658e-02,9.105714e-03,4.274510e-03"	0.614413	0.174821	-0.032203	-3131.671302	10
5	56	268-G23	281-G225	2481	0.930405	0	0	0.058002	0.008853	0.000928	0	0.001812	0	0.00664	0.00274	0.068667	0.004427	0	0.004427	0.001812	0	0.001812	0.04013	-0.028537	-3096.774358	134	-1	0.600436	"5.618177e-01,1.413046e-01,2.213518e-02,1.697393e-01,5.912051e-02,1.514281e-02,1.714553e-02,9.324013e-03,4.270423e-03"	0.664418	0.157742	-0.042845	-3418.502553	9
6	7	268-G30	B22	2664	0.868881	0	0	0.023642	0	0.050067	0	0.05741	0	0	0.107476	0.081052	0	0	0	0.05741	0	0.05741	0.094264	0.013212	-3382.308861	78	-1	0.644724	"5.669402e-01,1.497829e-01,3.045870e-02,1.371132e-01,5.785550e-02,1.183293e-02,2.644728e-02,1.249682e-02,7.072451e-03"	0.983588	0.15716	-0.131065	-3733.520383	10
6	8	268-G30	268-G252	2676	0.894501	0	0	0.000044	0	0.06626	0	0.039195	0	0	0.105455	0.039239	0	0	0	0.039195	0	0.039195	0.072347	0.033108	-3378.516041	86	-1	0.647628	"5.659712e-01,1.582534e-01,2.473852e-02,1.380897e-01,5.708975e-02,1.058916e-02,2.394701e-02,1.302519e-02,8.296156e-03"	0.852789	0.154865	-0.092785	-3745.538529	10
6	9	268-G30	274-G12	2654	0.896272	0	0	0.000197	0	0.035006	0	0.068526	0	0	0.103532	0.068723	0	0	0	0.068526	0	0.068526	0.086127	0.017404	-3290.678478	98	-1	0.642304	"5.764801e-01,1.445772e-01,2.821275e-02,1.401062e-01,5.452988e-02,1.116564e-02,2.460976e-02,1.437250e-02,5.945944e-03"	0.968689	0.150202	-0.121911	-3666.871874	9
6	10	268-G30	268-G28	2403	0.899832	0	0	0.006276	0	0.000533	0.012959	0.080398	0	0.00972	0.093891	0.086675	0.00648	0.00648	0	0.080398	0	0.080398	0.096763	-0.002872	-2989.478844	126	-1	0.581559	"5.822163e-01,1.390417e-01,2.526514e-02,1.371085e-01,6.019385e-02,1.270701e-02,2.676821e-02,1.137908e-02,5.320242e-03"	0.86443	0.170874	-0.104304	-3292.135473	7
6	11	268-G30	B01	1857	0.895138	0.000032	0.000678	0.000005	0	0.074431	0	0.029715	0	0.000694	0.104147	0.029721	0.000347	0	0	0.030394	0	0.030394	0.067628	0.037213	-2364.697098	78	-1	0.449419	"5.766524e-01,1.544218e-01,2.342720e-02,1.306956e-01,6.078421e-02,1.183307e-02,2.444389e-02,1.350915e-02,4.232679e-03"	0.787558	0.169632	-0.080916	-2577.749577	10
