a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
10	13	281-G50	281-G47	3725	0.920758	0	0	0.000343	0	0.038143	0	0.040755	0.000001	0.000001	0.078899	0.041099	0.000001	0.000001	0.000001	0.040755	0.000001	0.040756	0.059999	0.0189	-4782.128167	122	-1	0.850845	"5.375952e-01,1.571716e-01,3.032412e-02,1.424972e-01,6.452374e-02,1.518170e-02,2.948550e-02,1.815306e-02,5.067854e-03"	0.92694	0.164261	-0.119241	-5466.495991	9
10	14	281-G50	281-G52	3700	0.878011	0	0	0.044517	0	0.071403	0	0.006067	0.000002	0.000002	0.077472	0.050586	0.000002	0.000002	0.000002	0.006067	0.000002	0.006069	0.064029	0.013443	-4780.163007	118	-1	0.845135	"5.395817e-01,1.581408e-01,2.592117e-02,1.470280e-01,6.028153e-02,1.653433e-02,3.023940e-02,1.562671e-02,6.646281e-03"	0.931638	0.153197	-0.11365	-5385.613742	9
10	15	281-G50	281-G53	3771	0.907284	0	0	0.014952	0	0.041394	0	0.03637	0	0	0.077764	0.051322	0	0	0	0.03637	0	0.03637	0.064543	0.013221	-4851.798246	154	-1	0.861352	"5.356081e-01,1.586021e-01,3.087814e-02,1.465106e-01,6.088214e-02,1.520387e-02,3.106726e-02,1.679058e-02,4.457198e-03"	1.017464	0.152567	-0.137312	-5517.695026	7
10	16	281-G50	281-G45	3643	0.92086	0	0	0.000002	0	0.047285	0	0.031853	0	0	0.079138	0.031855	0	0	0	0.031853	0	0.031853	0.055496	0.023642	-4718.118398	98	-1	0.832115	"5.397935e-01,1.608189e-01,2.419756e-02,1.379456e-01,6.739000e-02,1.707474e-02,3.098439e-02,1.553202e-02,6.263249e-03"	0.818845	0.174336	-0.092189	-5332.65207	9
11	12	281-G49	281-G46	4030	0.928477	0	0	0.03051	0	0.000032	0	0.040981	0	0	0.041013	0.071492	0	0	0	0.040981	0	0.040982	0.056252	-0.015239	-5147.204008	94	-1	0.920512	"5.407757e-01,1.451794e-01,2.652404e-02,1.548930e-01,6.858702e-02,1.787598e-02,2.818978e-02,1.258479e-02,5.390310e-03"	0.797729	0.178034	-0.087321	-5803.915635	9
11	13	281-G49	281-G47	3969	0.965232	0	0	0	0	0.001348	0	0.03342	0	0	0.034768	0.03342	0	0	0	0.03342	0	0.03342	0.034094	0.000674	-5089.47493	114	-1	0.906578	"5.300013e-01,1.580283e-01,2.619841e-02,1.519247e-01,7.242653e-02,1.667653e-02,2.490160e-02,1.398423e-02,5.858461e-03"	0.705543	0.184897	-0.06133	-5786.423159	7
11	14	281-G49	281-G52	3953	0.943719	0	0	0.016244	0	0.000004	0	0.040032	0.000001	0.000001	0.040037	0.056276	0.000001	0.000001	0.000001	0.040032	0.000001	0.040033	0.048157	-0.00812	-5074.016637	118	-1	0.902924	"5.368639e-01,1.512751e-01,2.600467e-02,1.557473e-01,6.668993e-02,1.733194e-02,2.695365e-02,1.335382e-02,5.779620e-03"	0.794098	0.170708	-0.083268	-5714.123981	7
11	15	281-G49	281-G53	4014	0.91894	0	0	0.04971	0	0.026287	0	0.005062	0	0	0.031349	0.054772	0	0	0	0.005062	0	0.005062	0.043061	-0.011711	-5172.718372	106	-1	0.916857	"5.244195e-01,1.574418e-01,3.129047e-02,1.595979e-01,6.446623e-02,1.766992e-02,2.494857e-02,1.575351e-02,4.412143e-03"	0.87238	0.15851	-0.100151	-5877.545859	7
11	16	281-G49	281-G45	3865	0.966063	0	0	0.000015	0	0.015739	0	0.018183	0	0	0.033923	0.018198	0	0	0	0.018183	0	0.018184	0.02606	0.007862	-4993.891643	122	-1	0.882823	"5.267465e-01,1.646647e-01,2.250516e-02,1.499315e-01,7.048193e-02,1.981195e-02,2.728611e-02,1.252150e-02,6.050645e-03"	0.70644	0.177661	-0.059645	-5664.875598	7
12	13	281-G46	281-G47	4245	0.90927	0	0	0.011076	0	0.059081	0	0.020573	0.000001	0.000001	0.079654	0.031649	0.000001	0.000001	0.000001	0.020573	0.000001	0.020574	0.055652	0.024003	-5449.553832	122	-1	0.969621	"5.362195e-01,1.598335e-01,2.768034e-02,1.460641e-01,6.402092e-02,1.469293e-02,2.682845e-02,1.823871e-02,6.421522e-03"	0.851422	0.162763	-0.096379	-6168.571216	7
