a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
61	67	Y14	Y22	3722	0.848076	0.005531	0.002253	0.071736	0	0.039842	0	0.032547	0.000015	0.005033	0.072404	0.104298	0.002524	0.000015	0.000015	0.034801	0.000015	0.034815	0.09337	-0.015947	-4853.34032	131	-1	0.706262	"5.578997e-01,1.440966e-01,3.049633e-02,1.373682e-01,6.493156e-02,1.905332e-02,2.471099e-02,1.601209e-02,5.431226e-03"	0.850239	0.17467	-0.10189	-5359.426956	7
61	68	Y14	Y23	3677	0.92208	0.000046	0.000055	0	0	0.034468	0.005737	0.037614	0	0.00438	0.077819	0.037614	0.002907	0.002869	0	0.037668	0	0.037668	0.060663	0.017234	-4564.983226	90	-1	0.697723	"5.707112e-01,1.428447e-01,2.123258e-02,1.437158e-01,6.512050e-02,9.758630e-03,2.513100e-02,1.560663e-02,5.879000e-03"	0.711966	0.181754	-0.062435	-5085.233149	10
61	69	Y14	Y24	3097	0.909477	0.000003	0	0.013702	0	0.059844	0	0.016974	0	0.000002	0.076818	0.030676	0.000001	0	0	0.016974	0	0.016974	0.053748	0.023071	-3895.557015	82	-1	0.587666	"5.592416e-01,1.526007e-01,2.360387e-02,1.369574e-01,6.806116e-02,1.446930e-02,2.916738e-02,1.375599e-02,2.142687e-03"	0.77535	0.183674	-0.082575	-4362.801777	7
61	70	Y14	Y29	3689	0.894344	0.000042	0	0.03465	0	0.045271	0	0.024506	0.001188	0.001209	0.070964	0.060343	0.001198	0.001188	0.001188	0.024506	0.001188	0.025693	0.065675	0.00531	-4624.148709	70	-1	0.7	"5.638887e-01,1.455219e-01,2.397371e-02,1.448791e-01,6.059755e-02,1.562697e-02,2.233535e-02,1.519314e-02,7.983519e-03"	0.764207	0.164878	-0.072377	-5196.311103	10
61	71	Y14	Y28	3707	0.882678	0.000156	0.000218	0.049	0.000022	0.042053	0	0.025873	0	0.000313	0.067926	0.074895	0.000159	0	0.000011	0.026091	0	0.026091	0.071718	-0.003473	-4618.891857	114	-1	0.703416	"5.733079e-01,1.378139e-01,2.368625e-02,1.424357e-01,6.072341e-02,1.756296e-02,2.396801e-02,1.391377e-02,6.588164e-03"	0.784776	0.168967	-0.079841	-5171.849184	10
61	72	Y14	Y25	3741	0.864027	0.000001	0	0.029812	0.028593	0.051592	0	0.025974	0	0.021445	0.077566	0.08438	0.014297	0	0.014297	0.025974	0	0.025974	0.09527	0.01089	-4734.979892	74	-1	0.709867	"5.645415e-01,1.453935e-01,2.239910e-02,1.427955e-01,5.977435e-02,1.835441e-02,2.695712e-02,1.215398e-02,7.630504e-03"	0.825709	0.162407	-0.08885	-5273.319098	9
61	73	Y14	Y26	3667	0.906602	0	0	0.018138	0	0.01475	0.006957	0.053553	0	0.005218	0.07526	0.071691	0.003479	0.003479	0	0.053553	0	0.053553	0.076954	-0.001694	-4576.463056	114	-1	0.695825	"5.726761e-01,1.331689e-01,2.682831e-02,1.446843e-01,6.197111e-02,1.382468e-02,2.658397e-02,1.538069e-02,4.881903e-03"	0.86189	0.171917	-0.104068	-5139.104729	9
61	74	Y14	Y20	3747	0.806564	0	0	0.116309	0	0.071025	0	0.000615	0.005486	0.005486	0.077126	0.12241	0.005486	0.005486	0.005486	0.000615	0.005486	0.006101	0.099768	-0.022642	-4665.29278	82	-1	0.711006	"5.743173e-01,1.319686e-01,2.707852e-02,1.510159e-01,5.310153e-02,1.600032e-02,2.497885e-02,1.603604e-02,5.502913e-03"	0.980336	0.14466	-0.121107	-5207.362178	9
61	75	Y14	Y30	3701	0.924681	0	0	0.000166	0	0.001091	0	0.074061	0.000001	0.000001	0.075153	0.074228	0.000001	0.000001	0.000001	0.074061	0.000001	0.074062	0.07469	0.000463	-4582.082257	182	-1	0.702277	"5.763717e-01,1.336230e-01,2.350084e-02,1.420802e-01,6.382242e-02,1.431105e-02,2.928900e-02,1.149210e-02,5.509672e-03"	0.827136	0.180139	-0.097302	-5119.084774	9
61	76	Y14	281-G74	3688	0.916464	0	0	0.008651	0	0.063285	0	0.010147	0.001452	0.001452	0.074885	0.02025	0.001452	0.001452	0.001452	0.010147	0.001452	0.0116	0.047568	0.027317	-4666.662791	134	-1	0.69981	"5.590160e-01,1.552319e-01,1.962920e-02,1.398561e-01,6.429587e-02,1.586395e-02,2.485678e-02,1.699645e-02,4.253663e-03"	0.691895	0.172637	-0.05405	-5188.754126	9
